,LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,chain,FULL ADDRESS,lat,lon
15168,0000075032-0001-0,BERBERIAN ENTERPRISES INC,JONS MARKETPLACE #19,7134 SEPULVEDA BLVD,VAN NUYS,91405-2929,7134 SEPULVEDA 91405-2929,5315 SANTA MONICA BLVD,LOS ANGELES,90029-1105,445100.0,Grocery stores (including supermarkets & convenience stores without gas),6,11/01/2003,,"(34.2002, -118.4661)",1,"7134 SEPULVEDA BLVD, VAN NUYS, CA 91405-2929",34.2001373,-118.4655611
15169,0000075032-0002-8,BERBERIAN ENTERPRISES INC,,18135 SHERMAN WAY,RESEDA,91335-4549,18135 SHERMAN 91335-4549,5315 SANTA MONICA BLVD,LOS ANGELES,90029-1105,445100.0,Grocery stores (including supermarkets & convenience stores without gas),3,01/12/2005,,"(34.2012, -118.528)",1,"18135 SHERMAN WAY, RESEDA, CA 91335-4549",34.2019603,-118.5289404
15170,0000075032-0003-6,BERBERIAN ENTERPRISES INC,JONS MARKET #1,3667 W 3RD STREET,LOS ANGELES,90020-2042,3667 3RD 90020-2042,5315 SANTA MONICA BLVD,LOS ANGELES,90029-1105,445100.0,Grocery stores (including supermarkets & convenience stores without gas),4,03/01/1977,,"(34.069, -118.2958)",1,"3667 W 3RD STREET, LOS ANGELES, CA 90020-2042",34.0692278,-118.2960975
15171,0000075032-0004-4,BERBERIAN ENTERPRISES INC,JONS MARKET #2,6655 VAN NUYS BLVD,VAN NUYS,91405-4618,6655 VAN NUYS 91405-4618,5315 SANTA MONICA BLVD,LOS ANGELES,90029-1105,445100.0,Grocery stores (including supermarkets & convenience stores without gas),6,02/20/1980,,"(34.1916, -118.4487)",1,"6655 VAN NUYS BLVD, VAN NUYS, CA 91405-4618",34.1922481,-118.4492651
15172,0000075032-0005-2,BERBERIAN ENTERPRISES INC,JONS MARKET #3,3334 W 8TH STREET,LOS ANGELES,90005-2435,3334 8TH 90005-2435,5315 SANTA MONICA BLVD,LOS ANGELES,90029-1105,445100.0,Grocery stores (including supermarkets & convenience stores without gas),10,04/01/1984,,"(34.0576, -118.3009)",1,"3334 W 8TH STREET, LOS ANGELES, CA 90005-2435",34.0574455,-118.3013549
15173,0000075032-0006-1,BERBERIAN ENTERPRISES INC,JONS MARKET #7,5311 SANTA MONICA BLVD,LOS ANGELES,90029-1105,5311 SANTA MONICA 90029-1105,5315 SANTA MONICA BLVD,LOS ANGELES,90029-1105,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,07/22/1988,,"(34.0907, -118.3052)",1,"5311 SANTA MONICA BLVD, LOS ANGELES, CA 90029-1105",34.09128949999999,-118.3048791
15174,0000075032-0007-9,BERBERIAN ENTERPRISES INC,JONS MARKETPLACE,5315 SANTA MONICA BLVD,LOS ANGELES,90029-1105,5315 SANTA MONICA 90029-1105,5315 SANTA MONICA BLVD,LOS ANGELES,90029-1105,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,08/10/1989,,"(34.0907, -118.3052)",1,"5315 SANTA MONICA BLVD, LOS ANGELES, CA 90029-1105",34.0907977,-118.3049187
15175,0000075032-0009-5,BERBERIAN ENTERPRISES INC,JONS MARKET #11,1601 N VERMONT AVENUE,LOS ANGELES,90027-5312,1601 VERMONT 90027-5312,5315 SANTA MONICA BLVD,LOS ANGELES,90029-1105,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,06/30/1994,,"(34.1005, -118.2917)",1,"1601 N VERMONT AVENUE, LOS ANGELES, CA 90027-5312",34.1004495,-118.2919695
15176,0000075032-0010-9,BERBERIAN ENTERPRISES INC,JONS MARKETPLACE #15,20151 ROSCOE BLVD,WINNETKA,91306-1627,20151 ROSCOE 91306-1627,5315 SANTA MONICA BLVD,LOS ANGELES,90029-1105,445100.0,Grocery stores (including supermarkets & convenience stores without gas),3,01/15/1999,,"(34.2201, -118.5726)",1,"20151 ROSCOE BLVD, WINNETKA, CA 91306-1627",34.22112660000001,-118.5726747
15177,0000075032-0011-7,BERBERIAN ENTERPRISES INC,JONS MARKETPLACE #16,12122 MAGNOLIA BLVD,N HOLLYWOOD,91607-2620,12122 MAGNOLIA 91607-2620,5315 SANTA MONICA BLVD,LOS ANGELES,90029-1105,445100.0,Grocery stores (including supermarkets & convenience stores without gas),5,02/08/2000,,"(34.1648, -118.3971)",1,"12122 MAGNOLIA BLVD, N HOLLYWOOD, CA 91607-2620",34.1643341,-118.3973223
19709,0000100747-0002-6,ALBERTSONS LLC,ALOBERTSONS #6387,2035 HILLHURST AVENUE,LOS ANGELES,90027-2702,2035 HILLHURST 90027-2702,POST OFFICE BOX #20,BOISE,83726-0020,445100.0,Grocery stores (including supermarkets & convenience stores without gas),4,03/22/2013,,"(34.1086, -118.2874)",1,"2035 HILLHURST AVENUE, LOS ANGELES, CA 90027-2702",34.1089628,-118.2879212
19710,0000100747-0003-4,ALBERTSONS LLC,ALOBERTSONS #6131,3901 CRENSHAW BLVD,LOS ANGELES,90008-2522,3901 CRENSHAW 90008-2522,POST OFFICE BOX #20,BOISE,83726-0020,445100.0,Grocery stores (including supermarkets & convenience stores without gas),10,03/22/2013,,"(34.0145, -118.3351)",1,"3901 CRENSHAW BLVD, LOS ANGELES, CA 90008-2522",34.0140485,-118.3356662
19711,0000100747-0004-2,ALBERTSONS LLC,ALOBERTSONS #6305,19307 SATICOY STREET,RESEDA,91335-2330,19307 SATICOY 91335-2330,POST OFFICE BOX #20,BOISE,83726-0020,445100.0,Grocery stores (including supermarkets & convenience stores without gas),3,03/22/2013,,"(34.2083, -118.5537)",1,"19307 SATICOY STREET, RESEDA, CA 91335-2330",34.2095618,-118.5540388
19712,0000100747-0005-1,ALBERTSONS LLC,ALOBERTSONS #6342,22840 VICTORY BLVD,WOODLAND HILLS,91367-1633,22840 VICTORY 91367-1633,POST OFFICE BOX #20,BOISE,83726-0020,445100.0,Grocery stores (including supermarkets & convenience stores without gas),3,03/22/2013,,"(34.1864, -118.6242)",1,"22840 VICTORY BLVD, WOODLAND HILLS, CA 91367-1633",34.1864247,-118.6242565
19714,0000100747-0007-7,ALBERTSONS LLC,ALOBERTSONS #6397,6240 FOOTHILL BLVD,TUJUNGA,91042-2724,6240 FOOTHILL 91042-2724,POST OFFICE BOX #20,BOISE,83726-0020,445100.0,Grocery stores (including supermarkets & convenience stores without gas),7,03/22/2013,,"(34.2417, -118.2682)",1,"6240 FOOTHILL BLVD, TUJUNGA, CA 91042-2724",34.2406105,-118.2679468
19715,0000100747-0008-5,ALBERTSONS LLC,ALOBERTSONS #6168,3443 S SEPULVEDA BLVD,LOS ANGELES,90034-6009,3443 SEPULVEDA 90034-6009,POST OFFICE BOX #20,BOISE,83726-0020,445100.0,Grocery stores (including supermarkets & convenience stores without gas),5,03/22/2013,,"(34.0199, -118.4228)",1,"3443 S SEPULVEDA BLVD, LOS ANGELES, CA 90034-6009",34.0196029,-118.42326
19716,0000100747-0009-3,ALBERTSONS LLC,ALOBERTSONS #6169,8985 VENICE BLVD SUITE #B,LOS ANGELES,90034-3347,8985 VENICE 90034-3347,POST OFFICE BOX #20,BOISE,83726-0020,445100.0,Grocery stores (including supermarkets & convenience stores without gas),5,03/22/2013,,"(34.0282, -118.3904)",1,"8985 VENICE BLVD SUITE #B, LOS ANGELES, CA 90034-3347",34.0269438,-118.3933481
19718,0000100747-0011-5,ALBERTSONS LLC,ALOBERTSONS #6164,28090 S WESTERN AVENUE,SAN PEDRO,90732-1246,28090 WESTERN 90732-1246,POST OFFICE BOX #20,BOISE,83726-0020,445100.0,Grocery stores (including supermarkets & convenience stores without gas),15,03/22/2013,,"(33.7646, -118.311)",1,"28090 S WESTERN AVENUE, SAN PEDRO, CA 90732-1246",33.7648942,-118.310027
19890,0000101543-0001-1,MOTHERS NUTRITIONAL CENTER INC,MOTHER'S NUTRITIONAL CENTER,18353 SHERMAN WAY,RESEDA,91335-4436,18353 SHERMAN 91335-4436,13635 FREEWAY DRIVE,SANTA FE SPRINGS,90670-5622,445100.0,Grocery stores (including supermarkets & convenience stores without gas),3,02/19/2003,,"(34.2011, -118.5335)",1,"18353 SHERMAN WAY, RESEDA, CA 91335-4436",34.201449,-118.5335779
19894,0000101543-0006-1,MOTHERS NUTRITIONAL CENTER INC,,260 E MANCHESTER AVENUE UNIT #A & B,LOS ANGELES,90003-3418,260 MANCHESTER 90003-3418,13635 FREEWAY DRIVE,SANTA FE SPRINGS,90670-5622,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,10/25/2010,,"(33.96, -118.2695)",1,"260 E MANCHESTER AVENUE UNIT #A & B, LOS ANGELES, CA 90003-3418",33.9597364,-118.4191497
19905,0000101543-0018-5,MOTHERS NUTRITIONAL CENTER INC,MOTHER'S NUTRITIONAL CENTER,10223 S CENTRAL AVENUE,LOS ANGELES,90002-3320,10223 CENTRAL 90002-3320,13635 FREEWAY DRIVE,SANTA FE SPRINGS,90670-5622,445100.0,Grocery stores (including supermarkets & convenience stores without gas),8,06/01/2014,,"(33.9439, -118.2541)",1,"10223 S CENTRAL AVENUE, LOS ANGELES, CA 90002-3320",33.9434511,-118.2545283
19909,0000101552-0001-0,MOTHERS NUTRITIONAL CENTER INC,,7100 VAN NUYS BLVD #103,VAN NUYS,91405-3063,7100 VAN NUYS 91405-3063,13635 FREEWAY DRIVE,SANTA FE SPRINGS,90670-5622,445100.0,Grocery stores (including supermarkets & convenience stores without gas),6,06/10/2003,,"(34.1993, -118.4487)",1,"7100 VAN NUYS BLVD #103, VAN NUYS, CA 91405-3063",34.1994916,-118.4479472
19910,0000101554-0001-9,MOTHERS NUTRITIONAL CENTER INC,,4222 BEVERLY BLVD,LOS ANGELES,90004-4430,4222 BEVERLY 90004-4430,13635 FREEWAY DRIVE,SANTA FE SPRINGS,90670-5622,445100.0,Grocery stores (including supermarkets & convenience stores without gas),4,10/01/2003,,"(34.0762, -118.3009)",1,"4222 BEVERLY BLVD, LOS ANGELES, CA 90004-4430",34.0762652,-118.3012497
65499,0000387039-0001-9,MOTHERS NUTRITIONAL CENTER INC,,423 E FLORENCE AVENUE,LOS ANGELES,90003-2233,423 FLORENCE 90003-2233,13635 FREEWAY DRIVE,SANTA FE SPRINGS,90670-5622,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,08/10/1996,,"(33.9747, -118.267)",1,"423 E FLORENCE AVENUE, LOS ANGELES, CA 90003-2233",33.974982,-118.26665
92532,0000554496-0001-0,TRADER JOE'S CO,TRADER JOE'S D#7,10850 NATIONAL BLVD,LOS ANGELES,90064-4123,10850 NATIONAL 90064-4123,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),5,01/01/1960,,"(34.0302, -118.4216)",1,"10850 NATIONAL BLVD, LOS ANGELES, CA 90064-4123",34.0300454,-118.4214542
92533,0000554496-0002-8,TRADER JOE'S CO,TRADER JOES MARKET #55,1566 COLORADO BLVD,LOS ANGELES,90041-1441,1566 COLORADO 90041-1441,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),14,09/01/1969,,"(34.1395, -118.2001)",1,"1566 COLORADO BLVD, LOS ANGELES, CA 90041-1441",34.1393105,-118.2001716
92534,0000554496-0003-6,TRADER JOE'S CO,TRADER JOE'S #56,17640 BURBANK BLVD,ENCINO,91316-1725,17640 BURBANK 91316-1725,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),5,10/01/1970,,"(34.1722, -118.5175)",1,"17640 BURBANK BLVD, ENCINO, CA 91316-1725",34.1718715,-118.5177121
92535,0000554496-0004-4,TRADER JOE'S CO,TRADER JOE'S #49,14119 RIVERSIDE DRIVE,SHERMAN OAKS,91423-2312,14119 RIVERSIDE 91423-2312,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),4,08/01/1973,,"(34.1576, -118.4409)",1,"14119 RIVERSIDE DRIVE, SHERMAN OAKS, CA 91423-2312",34.1579277,-118.4408353
92536,0000554496-0005-2,TRADER JOE'S CO,TRADER JOES #44,11114 BALBOA BLVD,GRANADA HILLS,91344-4203,11114 BALBOA 91344-4203,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),12,10/24/1983,,"(34.2722, -118.5022)",1,"11114 BALBOA BLVD, GRANADA HILLS, CA 91344-4203",34.2723146,-118.5021877
92537,0000554496-0006-1,TRADER JOE'S CO,TRADER JOES NO 33,8645 S SEPULVEDA BLVD,LOS ANGELES,90045-4001,8645 SEPULVEDA 90045-4001,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),11,10/30/1979,,"(33.9592, -118.3962)",1,"8645 S SEPULVEDA BLVD, LOS ANGELES, CA 90045-4001",33.9587348,-118.3966373
92538,0000554496-0007-9,TRADER JOE'S CO,TADER JOE'S #50,6751 FALLBROOK AVENUE,WEST HILLS,91307-3544,6751 FALLBROOK 91307-3544,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),12,01/01/1989,,"(34.1929, -118.6233)",1,"6751 FALLBROOK AVENUE, WEST HILLS, CA 91307-3544",34.1922146,-118.6258129
92539,0000554496-0008-7,TRADER JOE'S CO,TRADER JOES #17,2738 HYPERION AVENUE,LOS ANGELES,90027-3002,2738 HYPERION 90027-3002,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),4,11/01/1991,,"(34.1072, -118.2721)",1,"2738 HYPERION AVENUE, LOS ANGELES, CA 90027-3002",34.107703,-118.271896
92540,0000554496-0009-5,TRADER JOE'S CO,TRADER JOE'S #54,10130 RIVERSIDE DRIVE,TOLUCA LAKE,91602-2532,10130 RIVERSIDE 91602-2532,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),4,09/20/1996,,"(34.1522, -118.3517)",1,"10130 RIVERSIDE DRIVE, TOLUCA LAKE, CA 91602-2532",34.151895,-118.351908
92541,0000554496-0010-9,TRADER JOE'S CO,TRADER JOE'S #31,263 S LA BREA AVENUE,LOS ANGELES,90036-3022,263 LA BREA 90036-3022,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),5,09/20/1996,,"(34.0696, -118.344)",1,"263 S LA BREA AVENUE, LOS ANGELES, CA 90036-3022",34.0691516,-118.3443531
92542,0000554496-0011-7,TRADER JOE'S CO,TRADER JOE'S #119,3456 S SEPULVEDA BLVD,LOS ANGELES,90034-6010,3456 SEPULVEDA 90034-6010,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),5,10/16/2001,,"(34.0201, -118.4228)",1,"3456 S SEPULVEDA BLVD, LOS ANGELES, CA 90034-6010",34.0204339,-118.4220904
92543,0000554496-0012-5,TRADER JOE'S CO,TRADER JOES #122,11976 VENTURA BLVD,STUDIO CITY,91604-2606,11976 VENTURA 91604-2606,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),2,10/16/2001,,"(34.1435, -118.3926)",1,"11976 VENTURA BLVD, STUDIO CITY, CA 91604-2606",34.1429422,-118.3931195
92545,0000554496-0014-1,TRADER JOE'S CO,TRADER JOE'S #209,21054 CLARENDON STREET,WOODLAND HILLS,91364-4545,21054 CLARENDON 91364-4545,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),3,04/01/2008,,"(34.1679, -118.5909)",1,"21054 CLARENDON STREET, WOODLAND HILLS, CA 91364-4545",34.1682269,-118.5921897
92546,0000554496-0015-0,TRADER JOE'S CO,,1000 GLENDON AVENUE,LOS ANGELES,90024-2908,1000 GLENDON 90024-2908,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),5,10/02/2008,,"(34.0625, -118.444)",1,"1000 GLENDON AVENUE, LOS ANGELES, CA 90024-2908",34.0623676,-118.4438855
92547,0000554496-0016-8,TRADER JOE'S CO,,8000 W SUNSET BLVD SUITE #C120,LOS ANGELES,90046-2443,8000 SUNSET 90046-2443,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),4,03/13/2009,,"(34.098, -118.3644)",1,"8000 W SUNSET BLVD SUITE #C120, LOS ANGELES, CA 90046-2443",34.0977437,-118.3649547
92548,0000554496-0017-6,TRADER JOE'S CO,TRADER JOE'S #215,11755 W OLYMPIC BLVD,LOS ANGELES,90064-1211,11755 OLYMPIC 90064-1211,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),11,07/31/2009,,"(34.0336, -118.4488)",1,"11755 W OLYMPIC BLVD, LOS ANGELES, CA 90064-1211",34.0336668,-118.4493214
92549,0000554496-0018-4,TRADER JOE'S CO,TRADER JOES COMPANY #206,1600 VINE STREET,LOS ANGELES,90028-8818,1600 VINE 90028-8818,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,05/21/2010,,"(34.0998, -118.3266)",1,"1600 VINE STREET, LOS ANGELES, CA 90028-8818",34.1001434,-118.3264673
92550,0000554496-0019-2,TRADER JOE'S CO,TRADER JOE'S #240,175 S FAIRFAX AVENUE SUITE #E,LOS ANGELES,90036-2106,175 FAIRFAX 90036-2106,POST OFFICE BOX #5049,MONROVIA,91017-7149,445100.0,Grocery stores (including supermarkets & convenience stores without gas),4,04/20/2012,,"(34.0724, -118.3614)",1,"175 S FAIRFAX AVENUE SUITE #E, LOS ANGELES, CA 90036-2106",34.0720748,-118.3618536
124474,0000769083-0001-3,GELSON'S MARKETS,GELSONS MARKET #391,4738 LAUREL CANYON BLVD,VALLEY VILLAGE,91607-3912,4738 LAUREL CANYON 91607-3912,POST OFFICE BOX #512256,LOS ANGELES,90051-0256,445100.0,Grocery stores (including supermarkets & convenience stores without gas),2,07/01/1966,,"(34.1564, -118.3964)",1,"4738 LAUREL CANYON BLVD, VALLEY VILLAGE, CA 91607-3912",34.1562159,-118.3964577
124475,0000769083-0002-1,GELSON'S MARKETS,GELSONS MARKET #390,16450 VENTURA BLVD,ENCINO,91436-2118,16450 VENTURA 91436-2118,POST OFFICE BOX #512256,LOS ANGELES,90051-0256,445100.0,Grocery stores (including supermarkets & convenience stores without gas),5,03/01/1960,,"(34.1574, -118.4912)",1,"16450 VENTURA BLVD, ENCINO, CA 91436-2118",34.15687400000001,-118.491754
124476,0000769083-0003-0,GELSON'S MARKETS,GELSONS MARKET #394,10250 SANTA MONICA BLVD,LOS ANGELES,90067-6501,10250 SANTA MONICA 90067-6501,POST OFFICE BOX #512256,LOS ANGELES,90051-0256,445100.0,Grocery stores (including supermarkets & convenience stores without gas),5,05/01/1967,,"(34.0594, -118.4208)",1,"10250 SANTA MONICA BLVD, LOS ANGELES, CA 90067-6501",34.0596101,-118.4194176
124477,0000769083-0004-8,GELSON'S MARKETS,GELSONS MARKET #393,5500 RESEDA BLVD,TARZANA,91356-2608,5500 RESEDA 91356-2608,POST OFFICE BOX #512256,LOS ANGELES,90051-0256,445100.0,Grocery stores (including supermarkets & convenience stores without gas),3,09/01/1967,,"(34.1697, -118.5359)",1,"5500 RESEDA BLVD, TARZANA, CA 91356-2608",34.1705157,-118.534799
124478,0000769083-0005-6,GELSON'S MARKETS,GELSONS MARKET #9990,16400 VENTURA BLVD #240,ENCINO,91436-2176,16400 VENTURA 91436-2176,POST OFFICE BOX #512256,LOS ANGELES,90051-0256,445100.0,Grocery stores (including supermarkets & convenience stores without gas),5,01/01/1970,,"(34.1572, -118.4901)",1,"16400 VENTURA BLVD #240, ENCINO, CA 91436-2176",34.156912,-118.490414
124479,0000769083-0006-4,GELSON'S MARKETS,GELSONS MARKET #395,15424 W SUNSET BLVD,PACIFIC PALISADES,90272-3539,15424 SUNSET 90272-3539,POST OFFICE BOX #512256,LOS ANGELES,90051-0256,445100.0,Grocery stores (including supermarkets & convenience stores without gas),11,08/08/1979,,"(34.048, -118.5272)",1,"15424 W SUNSET BLVD, PACIFIC PALISADES, CA 90272-3539",34.0479742,-118.5280133
124480,0000769083-0007-2,GELSON'S MARKETS,GELSONS MARKET #399,13455 MAXELLA AVENUE #399,MARINA DEL REY,90292-5682,13455 MAXELLA 90292-5682,POST OFFICE BOX #512256,LOS ANGELES,90051-0256,445100.0,Grocery stores (including supermarkets & convenience stores without gas),11,02/16/1989,,"(33.9869, -118.4407)",1,"13455 MAXELLA AVENUE #399, MARINA DEL REY, CA 90292-5682",33.9867604,-118.4416594
124481,0000769083-0008-1,GELSON'S MARKETS,,5877 FRANKLIN AVENUE,LOS ANGELES,90028-5618,5877 FRANKLIN 90028-5618,POST OFFICE BOX #512256,LOS ANGELES,90051-0256,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,07/01/1990,,"(34.1052, -118.3174)",1,"5877 FRANKLIN AVENUE, LOS ANGELES, CA 90028-5618",34.10589909999999,-118.3175016
